ID	Name	NameInSheet	Family	NameInSheets	Glottocode  	 ISO6393	Note
AmamiAsama	Amami Asama	Amami Asama	Japonic	Asama (Tokunoshima)	toku1246	tkn	not in glottolog
AmamiYamatohama	Amami Yamatohama	Amami Yamatohama	Japonic	Yamatohama	sout2954	ams	not in glottolog
AmamiYoron	Amami Yoron	Amami Yoron	Japonic	Mugiya-higashi (Yoron Island)	yoro1243	yox	
Japanese	Japanese	Japanese	Japonic			jpn	
OkinawaShuri	Okinawa Shuri	Okinawa Shuri	Japonic	Shuri (Southern Okinawa) form	shur1243	ryu	
OkinawaYonamine	Okinawa Yonamine	Okinawa Yonamine	Japonic	Yonamine (Nakijin-son, Northern Okinawa)	kuni1268	xug	not in glottolog
OldJapanese	Old Japanese	Old Japanese	Japonic	Old Japanese	oldj1239	ojp	
YaeyamaHatoma	Yaeyama Hatoma	Yaeyama Hatoma	Japonic	Hatoma	hato1238	rys	
YaeyamaIshigaki	Yaeyama Ishigaki	Yaeyama Ishigaki	Japonic	Ishigaki	ishi1240	rys	
Yonaguni	Yonaguni	Yonaguni	Japonic	Yonaguni	yona1241	yoi	
Kohama	Kohama		Japonic	Kohama	koha1246	rys	
Hateruma	Hateruma		Japonic	Hateruma	hate1238	rys	
Hirara	Hirara		Japonic	Hirara	miya1260	mvi	not in glottolog
Ikema	Ikema		Japonic	Ikema	ikem1235	mvi	
Old Shuri	Old Shuri		Japonic	Old Shuri			
Proto-Japonic	Proto-Japonic		Japonic	Proto-Japonic			
Proto-MY	Proto-MY		Japonic	Proto-MY			
Proto-RK	Proto-RK		Japonic	Proto-RK			
Proto-SK	Proto-SK		Japonic	Proto-SK			
Proto-YM	Proto-YM		Japonic	Proto-YM			
Taketomi	Taketomi		Japonic	Taketomi	take1256	rys	
Ogami	Ōgami		Japonic	Ōgami	ogam1239	mvi	
Fukuoka	Fukuoka	Fukuoka	Japonic			jpn	
Hachijo	Hachijo	Hachijo	Japonic		hach1239		
Kagoshima	Kagoshima	Kagoshima	Japonic		sats1242	jpn	same glottocode but different dialect
Koshikiislands	Koshiki islands	Koshiki islands	Japonic		sats1242	jpn	same glottocode but different dialect
Kumamoto	Kumamoto	Kumamoto	Japonic		kuma1281	jpn	
MiyakoIrabu	Miyako Irabu	Miyako Irabu	Japonic		irab1238	mvi	
Korean	Korean	Korean	Korean	Korean		kor	if Standard Seoul Korean, same as Kyengki?
LateMiddleKorean	(Late) Middle Korean	(Late) Middle Korean	Korean	Middle Korean	late1258	kor	
Kyengsang	Kyengsang		Korean	Kyengsang = Kyǒngsang = KS	kyon1247	kor	
Cennam	Cennam		Korean	Cennam  = Chǒnnam = JN	chol1278	kor	same glottocode but different dialect
Cenpwuk	Cenpwuk		Korean	Cenpwuk  = Chǒnbuk = JB	chol1278	kor	same glottocode but different dialect
Ceycwu	Ceycwu		Korean	Ceycwu =  Cheju= JJ	jeju1234	jje	
Chwungcengnamto	Chwungcengnamto		Korean	Chwungcengnamto  = Ch’ungchǒngnamdo = CN	chun1247	kor	same glottocode but different dialect
Chwungpwuk	Chwungpwuk		Korean	Chwungpwuk =  Ch’ungbuk  = CB	chun1247	kor	same glottocode but different dialect
Hamkyengnamto	Hamkyengnamto		Korean	Hamkyengnamto = Hamgyŏngnamdo = HN	hamg1238	kor	same glottocode but different dialect
Hamkyengpukto	Hamkyengpukto		Korean	Hamkyengpukto = Hamgyŏngbukdo = HB	hamg1238	kor	same glottocode but different dialect
Kangwento	Kangwento		Korean	Kangwento  = Kangwǒndo = KW		kor	not in glottolog
Kyengki	Kyengki		Korean	Kyengki = Kyǒnggi = KG	seou1239	kor	
Kyengnam	Kyengnam		Korean	Kyengnam = Kyǒngnam =KN	kyon1247	kor	subdivision of Kyengsang
Kyengpwuk	Kyengpwuk		Korean	Kyengpwuk = Kyǒngbuk = KB	kyon1247	kor	subdivision of Kyengsang
Pyengannamto	Pyengannamto		Korean	Pyengannamto = P’yŏngannamdo = PN	pyon1239	kor	same glottocode but different dialect
Pyenganpukto	Pyenganpukto		Korean	Pyenganpukto = P’yŏnganbukdo = PB	pyon1239	kor	same glottocode but different dialect
Gangwon	Gangwon	Gangwon	Koreanic			kor	same as Kangwento
Gyeonggi	Gyeonggi	Gyeonggi	Koreanic		seou1239	kor	same as Kyengki
Hwanghae	Hwanghae	Hwanghae	Koreanic		hwan1238	kor	
Jeju	Jeju	Jeju	Koreanic		jeju1234	kor	same as Ceycwu
NorthernGyeongsang	Northern Gyeongsang	Northern Gyeongsang	Koreanic		kyon1247	kor	same as Kyengpwuk
NorthernHamgyong	Northern Hamgyong	Northern Hamgyong	Koreanic		hamg1238	kor	same as Hankyengpukto
NorthernJeolla	Northern Jeolla	Northern Jeolla	Koreanic		chol1278	kor	same as Cenpwuk
NorthernPyongan	Northern Pyongan	Northern Pyongan	Koreanic		pyon1239	kor	same as Pyenganpukto
SouthernChungcheong	Southern Chungcheong	Southern Chungcheong	Koreanic		chun1247	kor	same as Chwungcengnamto
SouthernGyeongsang	Southern Gyeongsang	Southern Gyeongsang	Koreanic		kyon1247	kor	same as Kyengnam
SouthernHamgyong	Southern Hamgyong	Southern Hamgyong	Koreanic		hamg1238	kor	same as Hankyengnamto
SouthernJeolla	Southern Jeolla	Southern Jeolla	Koreanic		chol1278	kor	same as Cennam
SouthernPyongan	Southern Pyongan	Southern Pyongan	Koreanic		pyon1239	kor	same as Pyengannamto
NorthernChungcheong	Northern Chungcheong	Northern Chungcheong	Koreanic		chun1247	kor	same as Chwungpwuk
Baoan	Baoan	Baoan	Mongolic		baoa1237   		
Buriat	Buriat	Buriat	Mongolic		buri1258 	bua	
Dagur	Dagur	Dagur	Mongolic		daur1238 	dta	
Dongxian	Dongxian	Dongxian	Mongolic		dong1285 	sce	
Huzhu	Huzhu	Huzhu	Mongolic		huzh1238 	mjg	
Kalmyck	Kalmyck	Kalmyck	Mongolic		kalm1244   		
Kamnigan	Khamnigan	Kamnigan	Mongolic		kham1281   		
Kangjia	Kangjia	Kangjia	Mongolic		kang1281 	kxs	
Khalkha	Khalkha	Khalkha	Mongolic		halh1238 	khk	
MiddleMongolianMuqaddimataladab	Middle Mongolian (Muqaddimat al-adab)	Middle Mongolian (Muqaddimat al-adab)	Mongolic				
MiddleMongolianSecretHistory	Middle Mongolian (Secret History)	Middle Mongolian (Secret History)	Mongolic				
Minhe	Minhe	Minhe	Mongolic		minh1238   		
Moghol	Moghol	Moghol	Mongolic		mogh1245 	mhj	
Oirat	Oirat	Oirat	Mongolic				unclear if it is distinct from Kalmyk
ShiraYughur	Shira-Yughur	Shira-Yughur	Mongolic		east2337 	yuy	
Even	Even	Even	Tungusic	Even	even1260 	eve	
EvenkiKamnigan	Evenki (Khamnigan)	Evenki (Kamnigan)	Tungusic	Evenki	chen1257		
Jurchen	Jurchen	Jurchen	Tungusic	Jurchen	jurc1239 	juc	
Manchu	Manchu	Manchu	Tungusic	Manchu	manc1252 	mnc	
NanaiBikin	Nanai (Bikin)	Nanai (Bikin)	Tungusic	Nanai	nana1257 	gld	
Negidal	Negidal	Negidal	Tungusic	Negidal	negi1245 	neg	
Oroch	Oroch	Oroch	Tungusic	Oroch	oroc1248 	oac	
Orok	Orok	Orok	Tungusic	Orok	orok1265 	oaa	
Oroqen	Oroqen	Oroqen	Tungusic	Oroqen	oroq1238 	orh	
Solon	Solon	Solon	Tungusic	Solon	solo1263   		
Udihe	Udihe	Udihe	Tungusic	Udihe	udih1248 	ude	
Ulcha	Ulcha	Ulcha	Tungusic	Ulcha	ulch1241   		
Xibe	Xibe	Xibe	Tungusic	Xibe	xibe1242 	sjo	
EasternEvenki	Eastern Evenki	Eastern Evenki	Tungusic				Unclear which variety is meant, can't find it in the Tungusic xls file
Hezhe	Hezhe	Hezhe	Tungusic		sung1269		
KurUrmi	Kur-Urmi	Kur-Urmi	Tungusic		kuro1242   		
NanaiMiddleAmur	Nanai (Middle Amur)	Nanai (Middle Amur)	Tungusic		nana1257 	gld	
NorthernEvenkiTura	Northern Evenki (Tura)	Northern Evenki (Tura)	Tungusic		ilim1234   		
NorthernEvenkiTutonchany	Northern Evenki (Tutonchany)	Northern Evenki (Tutonchany)	Tungusic		ilim1234   		
SouthernEvenkiChiringda	Southern Evenki (Chiringda)	Southern Evenki (Chiringda)	Tungusic		hiss1234   		
SouthernEvenkiVershinaTuturyBaikal	Southern Evenki  (Vershina-Tutury, Baikal)	Southern Evenki  (Vershina-Tutury, Baikal)	Tungusic				unclear
StonyEvenkiPTPodkamennayaTunguska	Stony Evenki (PT = Podkamennaya Tunguska)	Stony Evenki (PT = Podkamennaya Tunguska)	Tungusic		hiss1234   		
Azeri	Azeri	Azeri	Turkic	Azeri	nort2697	azj	
BarabaTatar	BarabaTatar	BarabaTatar	Turkic		bara1408   		
Bashkir	Bashkir	Bashkir	Turkic	Bashkir	bash1264   	bak	
Chuvash	Chuvash	Chuvash	Turkic	Chuvash	chuv1255	chv	
CodexCumanicus	CodexCumanicus	CodexCumanicus	Turkic	Cuman?		qwm	
CrimeanTatar	CrimeanTatar	CrimeanTatar	Turkic	CrimeanTatar	crim1256   		
Dolgan	Dolgan	Dolgan	Turkic	Dolgan	dolg1241	dlg	
Gagauz	Gagauz	Gagauz	Turkic	Gagauz	gaga1249	gag	
KarachayBalkar	KarachayBalkar	KarachayBalkar	Turkic	KarachayBalkar	kara1465 	krc	
Karaim	Karaim	Karaim	Turkic	Karaim	kara1464 	kdr	
KaraKalpak	KaraKalpak	KaraKalpak	Turkic	KaraKalpak	kara1467 	kaa	
Kazakh	Kazakh	Kazakh	Turkic	Kazakh	kaza1248 	kaz	
Karakhanid	Karakhanid		Turkic	Karakhanid		xqr	
KazanTatar	KazanTatar	KazanTatar	Turkic	KazanTatar	kaza1250   		
Khakas	Khakas	Khakas	Turkic	Khakas	khak1248	kjh	
Khalaj	Khalaj	Khalaj	Turkic	Khalaj	khal1270	kjf	
Kirghiz	Kirghiz	Kirghiz	Turkic	Kirghiz	kirg1245 	kir	
Kumyk	Kumyk	Kumyk	Turkic	Kumyk	kumy1244 	kum	
MiddleChulym	MiddleChulym	MiddleChulym	Turkic	MiddleChulym	midd1324		
MiddleKypchak	MiddleKypchak		Turkic	MiddleKypchak			Clauson 1972, MiddleTurkic
MiddleTurkic	MiddleTurkic		Turkic	MiddleTurkic			Clauson 1972, MiddleTurkic
Nogai	Nogai	Nogai	Turkic	Nogai	noga1249 	nog	
NorthAltai	NorthAltai	NorthAltai	Turkic	NorthAltai	sout2694	alt	
OldTurkic	OldTurkic	OldTurkic	Turkic	OldTurkic	oldu1238 	oui	
Oyrot	Oyrot		Turkic	Oyrot	alta1277   		
Proto-Turkic	Proto-Turkic		Turkic	Proto-Turkic			
Salar	Salar	Salar	Turkic	Salar	sala1264 	slr	
SarygYugur	SarygYugur		Turkic	SarygYugur	west2402 	ybe	
Shor	Shor	Shor	Turkic	Shor	shor1247 	cjs	
SouthAltai	SouthAltai	SouthAltai	Turkic		sout2694 	alt	
Tofa	Tofa	Tofa	Turkic	Tofa	tofa1248   		
Turkish	Turkish	Turkish	Turkic	Turkish	nucl1301 	tur	
Turkmen	Turkmen	Turkmen	Turkic	Turkmen	turk1304 	tuk	
Tuvan	Tuvan	Tuvan	Turkic	Tuvan	tuvi1240	tyv	
Uyghur	Uyghur	Uyghur	Turkic	Uyghur	uigh1240 	uig	
Uzbek	Uzbek	Uzbek	Turkic	Uzbek	uzbe1247 	uzb	
Yakut	Yakut	Yakut	Turkic	Yakut	yaku1245 	sah	
WestYugur	WestYugur	WestYugur	Turkic		west2402 	ybe	
